"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"11944","MCLEODRUSS","MCLEOD RUSSEL INDIA LTD.","BE","5.0000","1","ES","E","NSE","22.8000","20.7000","","","3415702"
"15259","RPOWER","Reliance Power","EQ","5.0000","1","ES","E","NSE","22.7000","15.2000","","","5274110"
"513309","GOLKONDA","Golkonda Aluminium Extrus","Z","1.0000","1","ES","E","BSE","15.1700","13.7300","","","-1"
"500358","RAMAPETRO","Rama Petrochemicals","X","1.0000","1","ES","E","BSE","3.8800","3.5200","","","-1"
"29113","CARERATING","Care Ratings","EQ","5.0000","1","ES","E","NSE","1031.0000","687.4000","","","116366"
"8653","BSL","BSL LTD","BE","5.0000","1","ES","E","NSE","173.3000","156.8000","","","336553"
"526829","CONFIPET","Confidence Petroleum Indi","A","1.0000","1","ES","E","BSE","103.0000","68.6800","","","-1"
"533274","PRESTIGE","Prestige Estates Projects","A","5.0000","1","ES","E","BSE","733.1000","488.8000","","","-1"
"534674","DUCON","Ducon Infratechnologies","T","1.0000","1","ES","E","BSE","7.3500","7.0700","","","-1"
"533326","TEXRAIL","Texmaco Rail & Engineering","A","5.0000","1","ES","E","BSE","158.2500","105.5500","","","-1"
"500314","ORIENTHOT","Oriental Hotels","B","1.0000","1","ES","E","BSE","102.3400","68.2400","","","-1"
"514454","SOUTLAT","Southern Latex","XT","1.0000","1","ES","E","BSE","17.1600","15.5400","","","-1"
"4491","JCHAC","Johnson Controls Hitachi","EQ","5.0000","1","ES","E","NSE","1341.7500","1097.8500","","","81980"
"14314","TTL","T T","EQ","5.0000","1","ES","E","NSE","109.9500","73.3500","","","702986"
"2028","LYKALABS","Lyka Labs","EQ","5.0000","1","ES","E","NSE","136.0000","90.7000","","","882212"
"513579","FFPL","Foundry Fuel Products","Z","1.0000","1","ES","E","BSE","3.5500","3.4300","","","-1"
"500418","TOKYOPLAST","Tokyo Plast International","B","5.0000","1","ES","E","BSE","122.2000","81.5000","","","-1"
"3744","FINEORG","Fine Organic Industries","EQ","5.0000","1","ES","E","NSE","5925.3000","3950.2000","","","20235"
